LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01017144,9.886,0.121,-0.021,25.736,0.221,0.027
E01017145,1.425,-0.349,-0.010,16.902,0.047,-1.507
E01017146,1.403,-1.316,-0.496,18.289,0.050,-1.216
E01017147,2.195,-0.107,0.104,27.069,0.075,-1.039
E01017148,1.591,-0.406,-0.167,16.159,0.064,-1.028
E01017149,44.746,0.512,0.262,43.428,0.369,1.073
E01017150,2.136,-0.145,0.166,24.596,0.053,-0.975
E01017151,10.405,0.525,1.585,28.158,0.133,-0.629
E01017152,17.037,0.409,0.603,31.698,0.081,0.163
E01017153,31.892,1.125,1.555,31.543,0.210,0.010
E01017154,56.895,0.791,1.173,24.256,0.317,0.883
E01017155,45.372,1.604,1.716,33.506,0.159,0.704
E01017156,39.010,1.029,1.327,31.655,0.185,0.484
E01017157,10.746,1.123,0.642,28.606,0.176,-0.161
E01017158,9.679,0.888,0.813,39.596,0.205,-0.089
E01017159,17.224,0.342,1.299,39.597,0.203,0.121
E01017160,8.642,0.247,1.390,43.149,0.142,-0.086
E01017162,32.662,0.416,0.780,22.796,0.139,0.729
E01017163,63.585,0.921,1.655,19.793,0.414,1.262
E01017164,22.266,0.400,0.843,27.834,0.195,0.017
E01017165,56.152,1.092,0.280,22.837,0.307,1.253
E01017166,57.308,1.150,1.497,24.400,0.410,1.169
E01017167,67.987,1.521,1.898,21.348,0.406,1.494
E01017168,49.588,1.084,1.402,17.540,0.373,1.216
E01017169,65.985,0.796,0.753,29.689,0.318,1.879
E01017170,41.793,0.428,0.806,27.411,0.296,1.006
E01017171,7.668,0.433,0.658,30.538,0.135,-0.665
E01017172,12.620,0.340,0.565,42.775,0.106,-0.036
E01017173,10.382,0.130,0.284,31.167,0.069,-0.508
E01017174,21.901,-0.080,1.044,20.986,0.125,0.236
E01017175,7.095,-0.354,0.383,30.982,0.063,-0.861
E01017176,14.880,0.037,0.117,25.474,0.130,-0.396
E01017177,3.964,0.255,0.932,32.323,0.097,-1.029
