LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01009830,7.907,-0.430,-1.091,11.541,0.037,-0.610
E01009831,42.218,0.757,0.251,17.776,0.271,0.291
E01009832,56.026,0.899,-0.190,13.558,0.307,1.255
E01009833,53.293,0.684,0.615,20.235,0.337,1.149
E01009834,33.926,0.646,0.028,28.400,0.223,0.461
E01009835,28.279,0.406,-0.102,33.685,0.199,-0.101
E01009836,62.230,1.140,0.594,22.766,0.472,1.219
E01009837,36.872,0.458,0.666,36.473,0.237,0.698
E01009838,47.201,0.462,0.405,27.242,0.171,1.019
E01009839,47.444,1.060,0.662,51.192,0.335,0.980
E01009840,46.993,1.057,0.318,55.510,0.348,0.816
E01009841,59.882,1.331,0.243,36.635,0.352,1.025
E01009842,52.805,0.949,0.363,30.104,0.253,0.989
E01009843,26.384,0.058,0.147,26.127,0.212,-0.047
E01009844,51.644,1.075,0.684,45.652,0.322,1.010
E01009845,1.768,-0.631,-1.167,4.008,0.014,-1.733
E01009846,8.507,-0.157,-1.255,11.992,0.119,-0.498
E01009847,21.149,-0.034,-1.298,15.241,0.070,0.076
E01009848,18.919,-0.304,0.008,26.174,0.114,0.231
E01009849,19.097,0.349,-0.235,30.228,0.239,0.060
E01009850,3.257,-0.503,-0.245,22.941,0.045,-1.064
E01009851,4.217,0.139,-0.752,11.173,0.024,-1.150
E01009852,2.970,-0.652,-1.275,5.167,0.057,-1.082
E01009853,6.404,-0.171,-0.613,6.586,0.046,-0.654
E01009854,2.915,-0.339,-0.936,18.382,0.015,-1.524
E01009855,3.466,-0.670,-1.309,2.148,0.063,-1.264
E01009856,13.124,0.355,0.976,27.519,0.168,-0.357
E01009857,32.400,0.526,0.014,25.889,0.226,0.641
E01009858,5.290,0.235,-0.138,22.494,0.025,-0.483
E01009859,2.680,-0.927,-0.318,17.194,0.026,-1.389
E01009860,7.256,-0.526,0.022,9.809,0.071,-0.793
E01009861,22.637,0.223,-0.127,44.819,0.242,-0.007
E01009862,36.052,0.276,0.079,20.760,0.284,0.615
E01009863,31.209,0.310,-0.171,13.199,0.248,0.492
E01009864,48.587,0.215,0.189,25.970,0.244,1.101
E01009865,48.363,0.641,0.365,29.947,0.245,0.947
E01009866,23.013,0.138,0.343,32.673,0.155,-0.092
E01009867,38.539,0.012,0.631,38.016,0.149,0.604
E01009868,30.217,0.465,-0.301,23.566,0.158,0.498
E01009869,25.783,0.032,-0.556,34.920,0.132,0.364
E01009870,19.697,0.236,-0.606,19.419,0.090,-0.088
E01009871,34.376,0.121,0.052,24.904,0.204,0.654
E01009872,61.407,0.861,0.137,38.264,0.345,1.053
E01009873,28.815,0.060,0.252,29.118,0.262,0.132
E01009874,69.013,0.308,-0.142,39.502,0.349,1.376
E01009875,43.621,0.920,0.217,30.659,0.244,0.729
E01009876,43.816,0.539,0.128,20.440,0.222,0.651
E01009877,69.500,0.782,0.235,44.789,0.386,1.348
E01009878,25.104,0.202,-0.452,35.065,0.078,-0.005
E01009879,17.530,0.536,-0.007,34.481,0.162,0.037
E01009880,6.424,0.212,-0.083,18.148,0.112,-0.966
E01009881,41.353,1.566,0.741,22.434,0.403,0.703
E01009882,15.515,0.657,-0.127,21.286,0.160,-0.429
E01009883,38.935,0.821,0.128,33.473,0.295,0.493
E01009884,23.499,0.823,-0.352,16.061,0.256,-0.048
E01009885,34.407,0.868,0.856,26.497,0.344,0.199
E01009886,58.751,1.472,0.201,23.227,0.261,1.001
E01009887,38.198,0.685,-0.044,26.842,0.253,0.637
E01009888,23.245,0.206,0.136,37.876,0.185,0.201
E01009889,48.152,0.934,0.547,42.974,0.331,0.878
E01009890,55.180,0.615,-0.132,33.818,0.328,1.152
E01009891,43.769,0.799,0.264,24.599,0.353,0.596
E01009892,56.262,1.475,1.177,32.063,0.422,1.002
E01009893,56.664,0.907,0.847,38.291,0.395,1.091
E01009894,28.931,0.330,0.247,26.109,0.287,0.145
E01009895,16.709,0.320,0.408,11.377,0.144,-0.409
E01009896,8.011,-0.232,-0.147,10.829,0.079,-0.672
E01009897,3.930,-0.371,-1.736,9.022,0.025,-1.084
E01009898,9.383,-0.163,-0.318,10.953,0.069,-0.348
E01009899,12.854,-0.382,-1.679,7.358,0.072,-0.500
E01009900,10.319,-0.426,-1.125,7.872,0.016,-0.578
E01009901,5.784,0.035,-1.044,11.914,0.065,-1.321
E01009902,8.688,-0.151,-1.668,11.083,0.049,-0.719
E01009903,3.853,-0.870,-1.461,15.903,0.028,-1.280
E01009904,5.994,-0.176,-0.215,23.107,0.063,-0.848
E01009905,18.330,0.192,0.114,30.262,0.168,0.204
E01009906,32.159,0.768,0.591,26.163,0.218,0.586
E01009907,8.931,-0.048,0.679,45.030,0.170,-0.276
E01009908,1.440,-0.497,-0.016,32.757,0.067,-1.867
E01009909,18.008,0.200,-0.172,25.748,0.084,0.062
E01009910,33.375,0.233,-0.463,22.194,0.273,0.638
E01009911,14.015,0.068,-0.889,35.699,0.035,-0.404
E01009912,7.624,-0.272,-0.899,5.266,0.095,-0.456
E01009913,26.066,0.321,-0.301,27.767,0.147,0.263
E01009914,8.731,-0.296,-1.202,7.888,0.054,-0.612
E01009915,13.120,0.210,-0.013,11.006,0.098,-0.318
E01009916,18.518,0.230,-0.017,34.315,0.124,0.079
E01009917,13.150,0.030,-1.700,20.624,0.064,-0.376
E01009918,43.864,0.164,-0.184,26.336,0.271,0.868
E01009919,11.438,-0.121,-1.189,11.553,0.111,-0.430
E01009920,13.552,-0.016,-0.019,17.108,0.064,-0.206
E01009921,16.218,0.142,0.097,65.182,0.201,0.145
E01009922,23.619,0.682,-0.368,42.769,0.289,0.149
E01009923,16.587,0.465,-0.530,43.271,0.218,-0.462
E01009924,4.706,0.112,0.289,57.246,0.141,-0.638
E01009925,1.961,0.002,0.885,51.200,0.090,-1.544
E01009926,6.650,0.130,-0.040,51.759,0.125,-0.650
E01009927,7.106,0.527,0.708,60.212,0.174,-0.289
E01009928,28.219,0.443,0.036,54.096,0.233,0.672
E01009929,56.178,0.947,0.515,35.158,0.308,0.612
E01009930,41.907,0.838,0.297,31.234,0.331,0.547
E01009931,14.032,0.233,-0.342,25.084,0.114,-0.274
E01009932,32.576,1.018,0.483,36.292,0.180,0.139
E01009933,40.862,0.559,-0.303,37.852,0.275,0.570
E01009934,42.521,0.969,0.452,22.742,0.363,0.398
E01009935,38.245,1.061,0.502,22.784,0.437,0.364
E01009936,23.628,0.099,0.087,33.557,0.166,-0.345
E01009937,40.172,0.934,-0.197,40.684,0.251,0.423
E01009938,36.844,0.670,-0.165,37.508,0.247,0.490
E01009939,20.862,0.199,0.154,39.702,0.102,-0.042
E01009940,43.880,0.762,-0.135,40.585,0.274,0.626
E01009941,29.007,1.184,0.219,45.460,0.179,-0.029
E01009942,45.165,0.725,0.247,44.714,0.311,0.626
E01009943,40.590,1.127,0.043,45.140,0.319,0.372
E01009944,40.282,0.781,0.032,40.320,0.291,0.567
E01009946,15.151,-0.009,0.271,45.281,0.153,-0.374
E01009947,21.643,0.547,0.822,40.438,0.259,-0.364
E01009948,18.611,0.348,-0.407,40.952,0.091,-0.937
E01009949,8.996,-0.185,0.357,30.353,0.067,-1.351
E01009950,28.367,0.623,0.805,45.858,0.231,0.249
E01009951,49.250,0.866,0.602,49.554,0.400,0.801
E01009952,35.722,1.368,0.352,16.081,0.290,0.287
E01009953,38.400,1.017,0.868,37.742,0.249,0.589
E01009954,33.974,1.074,0.236,37.838,0.270,0.306
E01009955,29.719,1.228,0.485,39.821,0.246,-0.391
E01009956,25.483,0.836,0.216,27.649,0.268,-0.128
E01009957,60.801,1.333,0.348,33.810,0.380,1.235
E01009958,11.383,-0.127,-0.214,22.858,0.126,-0.449
E01009959,6.826,-0.214,-0.829,21.415,0.106,-1.178
E01009960,43.058,0.768,-0.004,31.803,0.244,0.313
E01009961,23.217,0.440,0.078,40.669,0.085,-0.223
E01009962,88.148,1.303,0.577,38.653,0.334,1.749
E01009963,83.444,0.891,0.293,33.611,0.428,1.528
E01009964,96.677,0.985,0.157,42.743,0.385,2.094
E01009965,83.180,1.117,0.160,37.728,0.515,1.450
E01009966,63.317,0.476,0.140,32.234,0.284,1.315
E01009967,26.673,0.472,-0.310,36.987,0.199,0.141
E01009968,6.683,0.228,-0.222,37.421,0.153,-1.046
E01009969,27.927,0.863,0.325,21.946,0.320,0.218
E01009970,33.762,0.191,0.213,31.419,0.295,0.413
E01009971,38.378,0.865,0.207,24.180,0.314,0.572
E01009972,11.309,-0.115,-0.161,36.862,0.080,-0.712
E01009973,15.741,0.245,-0.013,16.598,0.091,-0.999
E01009974,11.509,-0.244,0.118,44.437,0.127,-1.071
E01009975,12.793,-0.054,-0.322,32.951,0.103,-0.572
E01009976,19.094,-0.192,0.098,15.489,0.107,-0.082
E01009977,32.452,0.670,0.076,32.230,0.252,0.274
E01009978,53.946,1.393,0.482,38.497,0.384,0.875
E01009979,71.198,1.829,1.250,36.394,0.348,1.220
E01009980,36.793,1.255,0.249,32.655,0.268,0.320
E01009981,54.653,0.588,0.387,37.228,0.372,0.609
E01009982,52.430,1.049,0.198,39.696,0.332,0.652
E01009983,57.548,1.406,0.465,29.846,0.332,0.705
E01009985,53.891,0.894,0.345,53.109,0.269,0.490
E01009986,46.848,0.506,0.625,55.000,0.228,-0.046
E01009987,70.146,1.355,0.593,37.877,0.323,1.192
E01009988,49.178,1.025,0.355,35.020,0.307,0.365
E01009989,34.046,0.843,0.383,48.904,0.171,-0.061
E01009991,38.120,0.844,0.141,32.255,0.245,0.383
E01009992,35.515,0.772,0.325,37.730,0.323,0.287
E01009993,53.536,0.937,0.621,37.496,0.381,0.843
E01009994,45.975,0.888,0.842,40.304,0.375,0.766
E01009995,36.927,0.932,0.461,48.269,0.281,0.580
E01009996,62.417,0.982,0.446,53.092,0.391,0.899
E01009997,43.609,0.608,0.604,29.771,0.290,0.633
E01009998,41.202,0.867,0.899,37.318,0.185,0.449
E01009999,39.397,0.670,0.622,33.069,0.334,0.415
E01010000,15.350,0.318,0.012,38.370,0.131,-0.509
E01010001,41.921,0.829,-0.225,36.420,0.405,0.660
E01010002,20.629,0.321,0.369,42.636,0.142,0.075
E01010003,45.357,1.436,0.500,43.033,0.386,0.876
E01010004,38.528,0.700,0.376,63.697,0.350,0.540
E01010005,24.858,0.498,0.564,39.586,0.232,0.173
E01010006,20.881,0.463,0.081,47.060,0.171,-0.109
E01010007,23.717,0.511,0.529,35.555,0.232,-0.028
E01010008,19.565,0.245,0.369,36.218,0.227,-0.144
E01010009,21.309,0.321,0.066,37.029,0.218,-0.129
E01010010,34.949,0.626,0.263,25.906,0.255,0.335
E01010011,12.373,-0.376,-0.714,46.825,0.122,-0.693
E01010012,15.645,0.254,-0.564,37.558,0.117,-0.504
E01010013,10.744,-0.016,-0.053,28.988,0.128,-0.704
E01010014,12.256,0.123,0.300,42.973,0.141,-0.361
E01010015,25.632,0.467,0.303,32.579,0.208,-0.204
E01010016,31.963,0.577,0.607,47.699,0.266,0.233
E01010017,49.796,0.983,0.337,43.407,0.320,0.651
E01010018,21.356,0.909,-0.447,27.897,0.194,-0.009
E01010019,62.307,0.794,-0.052,60.539,0.266,0.995
E01010020,31.481,0.503,0.276,33.960,0.258,0.179
E01010021,33.777,0.988,0.439,39.270,0.277,0.123
E01010022,12.007,0.084,0.114,43.721,0.137,-0.569
E01010023,13.364,0.338,0.105,60.856,0.121,-0.519
E01010024,7.214,-0.110,-0.302,54.670,0.085,-0.913
E01010025,34.552,0.912,0.732,32.267,0.360,0.631
E01010026,16.671,0.621,-0.061,31.453,0.174,-0.170
E01010027,7.013,-0.014,0.405,38.090,0.063,-1.152
E01010028,45.448,0.527,0.441,36.720,0.260,0.812
E01010029,83.144,1.618,0.994,24.170,0.580,1.498
E01010030,88.413,1.366,1.195,31.165,0.407,1.687
E01010031,61.003,1.488,1.178,35.274,0.316,1.087
E01010032,90.132,1.744,0.887,33.649,0.559,1.678
E01010033,55.110,1.402,1.055,37.500,0.291,0.688
E01010034,14.678,0.224,-1.114,20.439,0.072,-0.653
E01010035,21.356,0.254,-0.420,41.967,0.074,-0.593
E01010036,51.086,0.558,0.346,18.669,0.348,1.299
E01010037,68.359,0.848,0.630,29.638,0.394,0.924
E01010038,43.365,0.651,0.196,35.111,0.326,0.417
E01010039,52.695,0.916,0.371,28.794,0.433,0.991
E01010040,28.096,0.557,0.862,35.021,0.233,-0.048
E01010041,51.718,0.724,0.185,30.192,0.335,0.934
E01010042,31.264,0.808,0.589,33.566,0.278,0.050
E01010043,22.841,0.136,0.104,18.489,0.142,-0.329
E01010044,35.011,0.968,0.570,32.913,0.322,0.079
E01010045,47.355,0.887,0.137,32.625,0.228,0.613
E01010046,46.128,0.794,0.713,25.716,0.261,0.055
E01010047,43.832,0.734,0.209,57.200,0.205,0.292
E01010048,44.018,0.366,0.089,53.461,0.222,0.394
E01010049,54.346,0.500,0.064,47.901,0.140,0.807
E01010050,32.438,0.333,-0.041,51.782,0.238,-0.129
E01010051,32.159,0.732,0.187,32.524,0.374,-0.181
E01010052,54.607,1.029,-0.583,34.517,0.274,0.393
E01010053,56.613,1.139,-0.179,40.785,0.300,0.586
E01010054,48.132,1.645,0.581,46.929,0.292,0.791
E01010055,33.993,0.048,-0.282,54.918,0.205,0.430
E01010056,41.832,0.825,-0.019,38.703,0.279,0.567
E01010057,34.830,1.084,-0.360,32.057,0.339,0.234
E01010058,48.556,1.020,0.592,38.719,0.342,0.718
E01010059,37.385,0.734,0.214,45.670,0.312,0.285
E01010060,44.375,0.972,0.262,49.105,0.298,0.377
E01010061,54.685,0.730,0.623,48.996,0.255,0.645
E01010062,51.348,1.102,0.595,35.458,0.329,0.555
E01010063,54.145,1.276,0.530,27.877,0.466,0.463
E01010064,32.516,0.604,0.767,35.796,0.237,0.046
E01010065,32.072,0.437,-0.006,30.359,0.300,0.312
E01010066,50.721,1.327,0.670,33.459,0.323,0.577
E01010067,51.792,1.476,0.739,53.716,0.298,0.637
E01010068,34.790,0.946,-0.014,26.095,0.327,0.589
E01010069,20.103,0.484,-0.314,19.597,0.184,-0.542
E01010070,38.690,0.964,0.477,38.429,0.224,0.673
E01010071,41.520,0.798,0.473,27.226,0.259,0.629
E01010072,31.000,0.470,0.250,15.695,0.213,0.322
E01010073,27.008,0.628,-0.222,21.998,0.351,-0.436
E01010074,40.002,0.740,0.665,34.773,0.330,0.814
E01010075,21.478,0.252,0.347,17.320,0.130,-0.409
E01010076,53.473,1.344,0.750,30.540,0.298,0.807
E01010077,47.734,0.967,0.477,32.334,0.314,0.459
E01010078,18.928,0.230,0.735,19.480,0.093,-0.504
E01010079,18.388,-0.119,0.162,29.596,0.113,-0.616
E01010080,51.947,0.923,0.521,33.148,0.318,0.962
E01010081,16.032,0.104,-0.250,43.754,0.079,-0.712
E01010082,15.251,-0.001,-0.385,44.960,0.139,-0.816
E01010083,28.111,0.625,-0.102,42.449,0.224,-0.079
E01010084,45.190,0.936,0.547,34.867,0.341,0.432
E01010085,25.038,0.808,0.628,51.770,0.183,-0.047
E01010086,45.345,0.727,0.089,40.133,0.246,0.912
E01010087,40.158,0.704,0.573,46.158,0.270,0.385
E01010088,49.045,0.808,0.286,40.271,0.242,0.692
E01010089,35.723,0.918,0.317,31.985,0.251,0.082
E01010090,46.449,0.917,0.493,25.601,0.347,0.626
E01010091,34.625,0.871,0.607,36.295,0.204,0.104
E01010092,29.373,1.001,0.154,25.597,0.257,0.064
E01010093,41.253,1.044,0.213,36.779,0.240,0.548
E01010094,30.361,0.580,0.553,42.763,0.172,-0.201
E01010095,58.476,0.662,0.344,49.063,0.360,0.792
E01010096,42.575,1.119,0.628,38.369,0.175,0.644
E01010097,32.931,1.402,-0.028,23.277,0.177,0.081
E01010098,48.668,1.148,0.900,24.257,0.308,0.692
E01010099,31.002,0.791,0.270,33.981,0.226,0.144
E01010100,37.034,0.457,-0.032,37.305,0.161,0.601
E01010101,44.024,0.606,-0.295,35.067,0.248,0.256
E01010102,48.664,0.839,1.401,46.516,0.201,0.335
E01010103,37.516,1.059,0.920,42.940,0.253,0.273
E01010104,34.266,0.735,0.257,33.076,0.163,-0.067
E01010105,18.727,0.215,0.912,26.517,0.182,-0.664
E01010106,41.939,0.989,0.947,51.072,0.231,-0.187
E01010107,48.982,1.828,0.985,42.155,0.397,0.470
E01010108,1.806,-0.835,-0.556,11.723,0.072,-1.218
E01010109,23.665,-0.245,0.200,25.149,0.139,0.309
E01010110,19.893,-0.007,-0.583,5.835,0.081,-0.341
E01010111,62.987,0.952,1.075,7.861,0.360,1.297
E01010112,26.650,0.181,0.683,4.573,0.252,0.074
E01010113,35.311,0.575,-0.108,10.029,0.205,0.430
E01010114,18.657,-0.042,0.109,22.783,0.109,-0.154
E01010115,12.561,-0.078,0.095,8.380,0.105,-0.243
E01010116,6.714,-0.811,-0.085,1.730,0.097,-0.624
E01010117,14.411,-0.594,0.446,8.069,0.023,-0.378
E01010118,26.384,0.099,-0.004,8.440,0.158,-0.269
E01010119,17.532,-0.447,0.014,13.327,0.062,-0.485
E01010120,33.480,0.178,0.380,9.547,0.224,0.298
E01010121,10.163,-0.399,0.544,18.436,0.106,-0.817
E01010122,13.454,-0.486,0.602,12.072,0.042,-0.840
E01010123,16.268,-0.391,0.662,29.145,0.071,-0.546
E01010124,15.208,-0.358,0.046,21.463,0.076,-0.620
E01010125,77.561,0.982,0.902,8.694,0.376,1.603
E01010126,56.707,0.715,0.896,8.939,0.385,0.973
E01010127,38.105,0.434,0.789,10.931,0.315,0.424
E01010128,51.615,0.855,1.197,7.520,0.337,0.695
E01010129,61.747,1.260,1.375,7.994,0.363,1.220
E01010130,70.911,1.182,0.610,6.116,0.358,1.453
E01010131,58.579,1.408,0.863,7.800,0.422,1.123
E01010132,19.933,-0.156,-0.376,32.015,0.086,0.306
E01010133,16.593,0.027,0.264,28.723,0.117,0.143
E01010134,17.741,-0.587,-0.392,22.897,0.098,0.035
E01010135,23.931,0.185,-1.751,18.144,0.131,0.511
E01010136,13.332,-0.393,-0.846,45.083,0.050,-0.114
E01010137,29.107,0.855,-0.007,21.539,0.160,0.489
E01010138,15.417,-0.260,-0.436,26.476,0.089,-0.102
E01010139,39.894,0.948,0.107,8.908,0.243,0.634
E01010140,64.507,1.156,0.740,7.493,0.301,1.019
E01010141,43.630,0.838,0.953,11.191,0.462,0.369
E01010142,55.158,1.606,1.204,11.297,0.450,0.908
E01010143,55.053,0.747,0.939,7.510,0.368,0.875
E01010144,35.849,0.466,0.577,15.554,0.201,0.331
E01010145,40.490,0.202,0.736,16.813,0.230,0.541
E01010146,51.331,0.698,0.702,19.384,0.406,0.860
E01010147,67.832,1.321,0.635,11.422,0.453,1.595
E01010148,66.280,0.969,0.936,20.092,0.423,1.458
E01010149,31.561,0.305,1.188,9.546,0.185,0.237
E01010150,1.567,-1.103,-1.709,1.401,0.010,-1.059
E01010151,5.110,-0.559,-0.381,27.005,0.101,-0.604
E01010152,0.673,-0.863,-1.394,1.442,0.017,-1.699
E01010153,1.068,-0.837,-0.990,1.174,0.024,-1.593
E01010154,1.418,-0.648,-0.511,5.469,0.044,-1.475
E01010155,2.925,-1.205,-0.757,3.313,0.025,-0.780
E01010156,1.017,-1.180,-1.642,3.782,0.031,-1.648
E01010157,27.102,-0.115,-0.580,27.276,0.109,0.706
E01010158,35.658,0.866,0.882,28.317,0.332,0.740
E01010159,22.414,-0.104,0.358,40.341,0.162,0.283
E01010160,24.845,-0.067,0.653,26.751,0.134,0.418
E01010161,6.836,-0.156,0.074,21.145,0.070,-0.470
E01010162,13.834,-0.283,0.025,27.979,0.046,-0.217
E01010163,13.179,-0.534,0.373,22.847,0.067,-0.156
E01010164,9.611,-0.793,-0.423,11.653,0.087,-0.329
E01010165,14.484,0.280,-0.124,9.152,0.167,-0.064
E01010166,2.986,-1.015,-0.738,5.007,0.017,-1.040
E01010167,16.891,-0.481,-0.655,33.833,0.209,0.461
E01010168,2.918,-1.187,-0.177,6.566,0.020,-0.820
E01010169,2.254,-0.991,-0.415,7.306,0.026,-0.946
E01010170,1.900,-1.122,-0.904,1.467,0.017,-0.932
E01010171,5.138,-0.567,-0.414,4.239,0.073,-0.541
E01010172,1.834,-1.028,-0.839,11.194,0.031,-1.181
E01010173,1.223,-0.934,-0.618,4.473,0.022,-1.597
E01010174,8.782,-0.077,0.651,19.179,0.126,-0.575
E01010175,1.697,-0.754,0.085,17.541,0.054,-1.179
E01010176,3.000,-0.788,-0.261,7.046,0.030,-1.101
E01010177,16.421,-0.108,-0.173,25.500,0.105,0.060
E01010178,13.380,1.073,0.080,12.129,0.195,-0.462
E01010179,6.711,-0.386,-0.650,15.765,0.075,-0.902
E01010180,8.952,-0.297,-0.326,7.615,0.030,-0.286
E01010181,3.877,-1.300,-0.262,4.920,0.038,-0.769
E01010183,7.333,-0.309,-0.441,22.584,0.066,-0.433
E01010184,9.656,-0.053,-0.419,21.519,0.105,-0.305
E01010185,0.452,-1.469,-1.216,1.591,0.025,-1.780
E01010186,1.583,-0.853,-0.595,4.655,0.045,-1.114
E01010187,0.681,-1.388,-0.895,2.430,0.009,-1.723
E01010188,0.626,-1.530,-0.350,2.687,0.026,-1.570
E01010189,4.154,-0.676,-0.385,7.681,0.037,-0.775
E01010190,0.666,-1.325,-0.756,4.088,0.038,-1.848
E01010191,2.577,-1.090,-0.877,11.623,0.017,-1.021
E01010192,2.779,-0.978,-0.005,12.189,0.081,-0.828
E01010193,0.812,-1.243,-1.523,1.600,0.028,-1.850
E01010194,2.041,-1.213,-1.420,1.278,0.048,-1.360
E01010195,1.071,-1.238,-0.942,11.138,0.033,-1.624
E01010196,0.677,-1.123,-0.319,11.931,0.032,-1.634
E01010197,0.678,-1.338,-0.891,2.685,0.021,-1.652
E01010198,1.413,-0.900,-0.300,3.813,0.056,-1.382
E01010199,2.806,-0.899,-1.252,12.674,0.029,-1.551
E01010200,9.363,0.082,-0.782,19.672,0.151,-0.463
E01010201,4.836,-0.520,-0.107,8.731,0.052,-1.110
E01010202,2.268,-0.971,-0.801,10.561,0.024,-1.555
E01010203,7.444,-0.469,-0.008,18.837,0.099,-0.637
E01010204,31.255,0.790,0.845,14.960,0.234,0.534
E01010205,3.328,-0.889,-0.637,3.309,0.037,-1.164
E01010206,6.512,-0.342,-0.200,23.565,0.077,-0.679
E01010207,3.816,-0.414,-1.175,1.983,0.030,-0.980
E01010208,6.009,-0.100,-0.452,21.443,0.049,-1.065
E01010209,8.185,-0.107,-1.343,30.960,0.101,-0.436
E01010210,4.745,-0.316,-0.346,3.087,0.033,-0.923
E01010211,13.935,0.489,-0.299,4.020,0.145,-0.163
E01010212,2.599,-1.109,-1.222,1.830,0.050,-0.962
E01010213,20.243,0.516,-0.450,20.893,0.153,-0.031
E01010214,3.886,-0.787,-1.327,1.248,0.028,-1.022
E01010215,2.998,-0.839,-1.152,0.999,0.088,-1.140
E01010216,4.884,-1.077,-0.639,1.474,0.049,-0.698
E01010217,6.533,-1.087,-0.682,4.980,0.027,-0.655
E01010218,30.763,0.521,0.534,14.638,0.145,0.360
E01010219,11.210,-0.119,0.253,33.122,0.166,-0.410
E01010220,8.125,-0.616,-0.367,28.287,0.057,-0.529
E01010221,14.932,-0.007,0.357,21.270,0.119,-0.141
E01010222,10.678,-0.649,-0.120,10.994,0.121,-0.567
E01010223,24.006,-0.071,0.170,25.965,0.189,0.486
E01010225,9.360,-0.424,-0.314,26.169,0.083,-0.277
E01010226,3.861,-0.320,-0.496,8.328,0.084,-0.631
E01010227,3.844,-1.090,-0.035,9.095,0.041,-0.783
E01010228,11.268,-0.455,0.200,24.652,0.093,-0.145
E01010229,2.622,-1.035,-0.403,7.937,0.019,-1.121
E01010230,10.383,0.364,-0.346,16.863,0.132,-0.285
E01010231,2.632,-1.289,-0.689,5.761,0.053,-0.933
E01010232,41.238,-0.552,-0.568,16.067,0.089,1.443
E01010233,13.710,-0.002,0.126,21.268,0.176,0.114
E01010234,55.558,1.236,1.184,20.133,0.430,1.047
E01010235,69.438,0.623,0.563,9.562,0.457,1.704
E01010236,56.466,0.622,0.315,10.297,0.372,0.769
E01010237,35.465,0.408,0.800,11.659,0.299,0.231
E01010238,59.570,1.332,0.761,17.514,0.357,1.129
E01010239,50.403,1.036,0.198,13.968,0.409,0.858
E01010240,56.833,0.735,0.125,17.548,0.351,1.159
E01010241,9.857,-0.213,-0.808,24.785,0.061,-0.569
E01010242,42.176,0.997,-0.679,20.680,0.225,0.667
E01010243,8.904,-0.084,-0.618,15.505,0.085,-0.396
E01010244,34.706,0.919,-0.312,31.556,0.320,0.778
E01010245,5.541,-0.449,-0.491,14.092,0.061,-0.953
E01010246,13.917,-0.094,-0.375,19.035,0.041,-0.152
E01010247,11.285,-0.140,-0.873,15.183,0.119,-0.378
E01010248,4.343,-0.387,-0.844,12.415,0.036,-1.011
E01010249,37.387,0.647,1.119,15.936,0.274,0.791
E01010250,27.151,0.461,-0.007,18.062,0.212,0.255
E01010251,8.162,-0.144,-0.443,9.432,0.025,-0.837
E01010252,32.913,0.573,-0.481,14.865,0.216,0.353
E01010253,30.617,0.834,-0.164,15.526,0.181,0.437
E01010254,31.264,0.751,0.681,18.408,0.180,0.129
E01010255,6.954,0.271,-1.670,9.680,0.071,-1.182
E01010256,20.245,0.537,-0.249,19.918,0.132,0.104
E01010257,4.848,-0.061,-1.794,11.941,0.031,-0.883
E01010258,53.595,0.458,0.256,16.690,0.355,0.870
E01010259,35.767,0.611,0.382,20.848,0.214,0.332
E01010260,49.315,0.836,0.738,38.230,0.363,0.888
E01010261,50.284,1.034,0.193,37.082,0.395,0.907
E01010262,41.622,0.295,0.331,35.558,0.287,0.722
E01010263,42.715,0.763,0.775,39.820,0.228,-0.080
E01010264,47.780,0.995,0.931,26.135,0.319,0.720
E01010265,49.968,0.780,0.462,27.077,0.288,0.423
E01010266,58.258,1.134,-0.103,13.343,0.392,1.008
E01010267,25.931,0.212,-0.430,16.901,0.164,0.009
E01010268,57.334,0.846,0.760,42.608,0.224,0.995
E01010269,69.537,1.190,0.540,45.017,0.276,0.966
E01010270,36.870,0.987,0.482,29.603,0.349,0.267
E01010271,85.488,0.923,0.335,27.707,0.385,1.818
E01010272,93.026,0.915,0.446,40.067,0.317,2.017
E01010273,79.079,1.048,0.129,28.530,0.480,1.411
E01010274,93.633,0.947,0.137,32.498,0.483,2.128
E01010275,78.549,0.974,0.574,29.646,0.366,1.529
E01010277,63.337,0.801,0.753,36.898,0.367,1.319
E01010279,57.364,1.004,0.424,18.107,0.338,0.893
E01010282,74.252,1.297,1.367,38.015,0.502,1.700
E01010283,90.634,0.912,0.770,26.686,0.419,2.174
E01010284,44.848,0.968,0.291,31.363,0.309,0.787
E01010285,28.782,0.089,0.194,22.645,0.119,0.300
E01010286,78.559,1.202,0.548,25.101,0.405,1.398
E01010287,42.779,1.110,0.996,39.200,0.160,0.440
E01010288,77.684,1.237,0.814,27.465,0.373,1.597
E01010289,81.191,1.518,0.562,19.361,0.488,1.375
E01010290,36.884,0.642,0.027,22.360,0.182,0.095
E01010291,83.579,0.887,1.207,32.795,0.463,1.666
E01010292,58.018,0.963,0.996,29.428,0.274,0.778
E01010293,50.590,0.953,0.421,23.762,0.355,1.004
E01010294,79.636,0.921,0.454,32.571,0.356,1.687
E01010295,73.469,1.386,0.945,30.480,0.341,1.402
E01010296,8.558,-0.362,-0.552,6.246,0.032,-0.598
E01010297,5.800,-0.406,-0.558,8.189,0.022,-1.263
E01010298,44.507,0.391,0.074,24.694,0.312,0.863
E01010299,80.832,0.974,-0.130,29.441,0.393,1.744
